IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.125.62,8080,8080,false,NRT,Asia Pacific,Tokyo,111,0.00
47.236.125.62,8880,8880,false,NRT,Asia Pacific,Tokyo,111,0.00
8.219.77.222,2086,2086,false,SIN,Asia Pacific,Singapore,112,0.00
8.217.248.220,2086,2086,false,HKG,Asia Pacific,Hong Kong,112,0.00
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,112,0.00
8.219.66.156,2052,2052,false,NRT,Asia Pacific,Tokyo,112,0.00
8.210.192.93,2086,2086,false,HKG,Asia Pacific,Hong Kong,113,0.00
47.242.176.237,2052,2052,false,HKG,Asia Pacific,Hong Kong,114,0.00
47.236.125.62,2052,2052,false,NRT,Asia Pacific,Tokyo,114,0.00
8.218.155.238,8880,8880,false,HKG,Asia Pacific,Hong Kong,115,0.00
8.218.22.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,115,0.00
8.219.153.237,8880,8880,false,NRT,Asia Pacific,Tokyo,115,0.00
8.219.153.237,80,80,false,NRT,Asia Pacific,Tokyo,118,0.00
47.76.33.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,119,0.00
47.236.125.62,2086,2086,false,NRT,Asia Pacific,Tokyo,119,0.00
8.210.39.96,2086,2086,false,HKG,Asia Pacific,Hong Kong,119,0.00
8.217.145.40,80,80,false,HKG,Asia Pacific,Hong Kong,120,0.00
8.218.126.53,2052,2052,false,HKG,Asia Pacific,Hong Kong,121,0.00
8.210.39.96,8880,8880,false,HKG,Asia Pacific,Hong Kong,121,0.00
8.218.126.53,8880,8880,false,HKG,Asia Pacific,Hong Kong,121,0.00
8.210.9.129,8880,8880,false,HKG,Asia Pacific,Hong Kong,122,0.00
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,123,0.00
47.76.146.1,8080,8080,false,HKG,Asia Pacific,Hong Kong,123,0.00
47.242.59.216,2095,2095,false,HKG,Asia Pacific,Hong Kong,125,0.00
47.242.232.14,8880,8880,false,HKG,Asia Pacific,Hong Kong,125,0.00
8.219.106.156,8880,8880,false,SIN,Asia Pacific,Singapore,125,0.00
8.219.66.156,8880,8880,false,NRT,Asia Pacific,Tokyo,125,0.00
8.219.66.156,2095,2095,false,NRT,Asia Pacific,Tokyo,126,0.00
47.236.125.62,2095,2095,false,NRT,Asia Pacific,Tokyo,126,0.00
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,127,0.00
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,128,0.00
8.219.153.237,2052,2052,false,NRT,Asia Pacific,Tokyo,129,0.00
8.219.153.237,2082,2082,false,NRT,Asia Pacific,Tokyo,130,0.00
47.76.146.1,2086,2086,false,HKG,Asia Pacific,Hong Kong,130,0.00
8.218.18.235,8080,8080,false,HKG,Asia Pacific,Hong Kong,131,0.00
8.210.66.190,2082,2082,false,HKG,Asia Pacific,Hong Kong,132,0.00
47.242.125.241,8080,8080,false,HKG,Asia Pacific,Hong Kong,133,0.00
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,134,0.00
8.219.66.156,2082,2082,false,NRT,Asia Pacific,Tokyo,134,0.00
47.243.203.119,2086,2086,false,HKG,Asia Pacific,Hong Kong,134,0.00
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,135,0.00
8.210.119.11,2052,2052,false,HKG,Asia Pacific,Hong Kong,136,0.00
47.242.54.157,2082,2082,false,HKG,Asia Pacific,Hong Kong,136,0.00
47.76.80.72,2095,2095,false,HKG,Asia Pacific,Hong Kong,136,0.00
8.218.2.181,2082,2082,false,HKG,Asia Pacific,Hong Kong,137,0.00
8.217.239.116,8080,8080,false,HKG,Asia Pacific,Hong Kong,138,0.00
47.76.80.72,2082,2082,false,HKG,Asia Pacific,Hong Kong,140,0.00
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,140,0.00
47.243.183.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,140,0.00
47.243.203.119,2082,2082,false,HKG,Asia Pacific,Hong Kong,141,0.00
8.210.65.1,2082,2082,false,HKG,Asia Pacific,Hong Kong,142,0.00
47.242.234.127,8880,8880,false,HKG,Asia Pacific,Hong Kong,143,0.00
8.218.52.115,8880,8880,false,HKG,Asia Pacific,Hong Kong,144,0.00
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,147,0.00
47.242.171.94,2095,2095,false,HKG,Asia Pacific,Hong Kong,148,0.00
8.219.66.156,8080,8080,false,NRT,Asia Pacific,Tokyo,150,0.00
8.217.193.25,8080,8080,false,HKG,Asia Pacific,Hong Kong,153,0.00
47.76.37.57,8080,8080,false,HKG,Asia Pacific,Hong Kong,155,0.00
8.209.119.190,80,80,false,SJC,North America,San Jose,155,0.00
8.218.143.10,2095,2095,false,HKG,Asia Pacific,Hong Kong,155,0.00
47.242.54.157,2095,2095,false,HKG,Asia Pacific,Hong Kong,156,0.00
8.222.214.231,2095,2095,false,SIN,Asia Pacific,Singapore,157,0.00
8.217.159.210,2052,2052,false,HKG,Asia Pacific,Hong Kong,159,0.00
8.219.98.13,2082,2082,false,SIN,Asia Pacific,Singapore,165,0.00
47.242.54.157,2086,2086,false,HKG,Asia Pacific,Hong Kong,166,0.00
8.219.100.168,2082,2082,false,SIN,Asia Pacific,Singapore,166,0.00
8.217.164.10,80,80,false,HKG,Asia Pacific,Hong Kong,170,0.00
47.76.77.103,80,80,false,HKG,Asia Pacific,Hong Kong,170,0.00
47.88.31.196,8080,80,false,SJC,North America,San Jose,171,0.00
8.217.207.60,2095,2095,false,HKG,Asia Pacific,Hong Kong,171,0.00
8.218.85.128,2086,2086,false,HKG,Asia Pacific,Hong Kong,171,0.00
8.219.42.72,2052,2052,false,SIN,Asia Pacific,Singapore,172,0.00
8.218.8.142,2095,2095,false,HKG,Asia Pacific,Hong Kong,172,0.00
47.243.183.127,2082,2082,false,HKG,Asia Pacific,Hong Kong,173,0.00
8.218.18.132,2086,2086,false,HKG,Asia Pacific,Hong Kong,174,0.00
47.236.130.95,2086,2086,false,SIN,Asia Pacific,Singapore,174,0.00
47.242.202.230,2086,2086,false,HKG,Asia Pacific,Hong Kong,174,0.00
8.217.49.34,2052,2052,false,HKG,Asia Pacific,Hong Kong,178,0.00
8.218.48.92,8080,8080,false,HKG,Asia Pacific,Hong Kong,179,0.00
47.243.107.148,2052,2052,false,HKG,Asia Pacific,Hong Kong,179,0.00
8.210.245.224,2095,2095,false,HKG,Asia Pacific,Hong Kong,181,0.00
8.218.222.36,2095,2095,false,HKG,Asia Pacific,Hong Kong,181,0.00
47.242.17.250,8880,8880,false,HKG,Asia Pacific,Hong Kong,182,0.00
8.210.107.246,2095,2095,false,HKG,Asia Pacific,Hong Kong,183,0.00
47.242.202.230,2082,2082,false,HKG,Asia Pacific,Hong Kong,183,0.00
8.218.222.36,80,80,false,HKG,Asia Pacific,Hong Kong,184,0.00
8.210.245.224,2082,2082,false,HKG,Asia Pacific,Hong Kong,185,0.00
8.217.164.10,2086,2086,false,HKG,Asia Pacific,Hong Kong,192,0.00
8.217.149.28,80,80,false,HKG,Asia Pacific,Hong Kong,193,0.00
8.218.52.115,2095,2095,false,HKG,Asia Pacific,Hong Kong,193,0.00
8.218.155.238,2086,2086,false,HKG,Asia Pacific,Hong Kong,193,0.00
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,193,0.00
8.217.221.165,8080,8080,false,HKG,Asia Pacific,Hong Kong,194,0.00
8.217.239.116,80,80,false,HKG,Asia Pacific,Hong Kong,195,0.00
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,198,0.00
8.210.3.24,8080,8080,false,HKG,Asia Pacific,Hong Kong,200,0.00
8.218.11.90,8080,8080,false,HKG,Asia Pacific,Hong Kong,202,0.00
47.243.203.119,8080,8080,false,HKG,Asia Pacific,Hong Kong,203,0.00
47.76.94.15,8880,8880,false,HKG,Asia Pacific,Hong Kong,204,0.00
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,204,0.00
8.218.188.129,80,80,false,HKG,Asia Pacific,Hong Kong,205,0.00
8.218.207.169,80,80,false,HKG,Asia Pacific,Hong Kong,205,0.00
8.218.48.92,2082,2082,false,HKG,Asia Pacific,Hong Kong,208,0.00
8.219.84.214,2082,2082,false,SIN,Asia Pacific,Singapore,208,0.00
8.218.201.73,8080,8080,false,HKG,Asia Pacific,Hong Kong,209,0.00
8.217.251.62,2095,2095,false,HKG,Asia Pacific,Hong Kong,210,0.00
8.219.51.211,2082,2082,false,SIN,Asia Pacific,Singapore,213,0.00
8.217.207.60,2086,2086,false,HKG,Asia Pacific,Hong Kong,215,0.00
8.210.146.108,2095,2095,false,HKG,Asia Pacific,Hong Kong,215,0.00
8.218.211.17,8880,8880,false,HKG,Asia Pacific,Hong Kong,217,0.00
47.76.80.72,2052,2052,false,HKG,Asia Pacific,Hong Kong,222,0.00
8.217.85.14,8080,8080,false,HKG,Asia Pacific,Hong Kong,223,0.00
47.236.94.195,80,8080,false,OTP,Europe,Bucharest,224,0.00
8.218.207.169,2052,2052,false,HKG,Asia Pacific,Hong Kong,224,0.00
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,225,0.00
8.217.250.222,8080,8080,false,HKG,Asia Pacific,Hong Kong,225,0.00
47.243.27.217,2052,2052,false,HKG,Asia Pacific,Hong Kong,225,0.00
8.217.239.116,2052,2052,false,HKG,Asia Pacific,Hong Kong,229,0.00
8.210.245.224,80,80,false,HKG,Asia Pacific,Hong Kong,229,0.00
8.210.174.156,80,80,false,HKG,Asia Pacific,Hong Kong,230,0.00
8.219.66.156,2095,2095,false,NRT,Asia Pacific,Tokyo,231,0.00
8.210.9.129,80,80,false,HKG,Asia Pacific,Hong Kong,232,0.00
8.217.221.165,2095,2095,false,HKG,Asia Pacific,Hong Kong,232,0.00
8.210.245.224,2052,2052,false,HKG,Asia Pacific,Hong Kong,232,0.00
47.242.125.241,8880,8880,false,HKG,Asia Pacific,Hong Kong,233,0.00
8.210.3.24,2052,2052,false,HKG,Asia Pacific,Hong Kong,233,0.00
8.218.188.129,2086,2086,false,HKG,Asia Pacific,Hong Kong,233,0.00
8.210.101.157,80,80,false,HKG,Asia Pacific,Hong Kong,236,0.00
8.218.146.204,2082,2082,false,HKG,Asia Pacific,Hong Kong,237,0.00
